num,name,ilosc,wartosc
1,Austria,0,0.0
2,Belgia,0,0.0
3,Bułgaria,0,0.0
4,Chorwacja,0,0.0
5,Cypr,0,0.0
6,Czechy,0,0.0
7,Dania,0,0.0
8,Estonia,0,0.0
9,Finlandia,0,0.0
10,Francja,0,0.0
11,Grecja,0,0.0
12,Hiszpania,0,0.0
13,Holandia,0,0.0
14,Irlandia,0,0.0
15,Islandia,0,0.0
16,Litwa ,0,0.0
17,Liechtenstein,0,0.0
18,Luksemburg,0,0.0
19,Łotwa,0,0.0
20,Malta,0,0.0
21,Niemcy,0,0.0
22,Norwegia,0,0.0
23,Polska,0,0.0
24,Portugalia,0,0.0
25,Rumunia,0,0.0
26,Słowacja,0,0.0
27,Słowenia,0,0.0
28,Szwecja,0,0.0
29,Węgry,0,0.0
30,Włochy,0,0.0
31,Krajowe,0,0.0
32,Pozostałe kraje świata (poza EOG),5,332.0
